UserID,Device,Traffic_Source,Category,Visited,Product_Viewed,Added_to_Cart,Purchased
U00000,Mobile,Organic,Home & Kitchen,1,1,1,1
U00001,Mobile,Paid,Sports,1,1,1,1
U00002,Mobile,Organic,Clothing,1,0,0,0
U00003,Mobile,Paid,Books,1,1,0,0
U00004,Desktop,Email,Books,1,1,1,0
U00005,Desktop,Organic,Electronics,1,1,1,1
U00006,Desktop,Paid,Electronics,1,0,0,0
U00007,Desktop,Paid,Sports,1,0,0,0
U00008,Desktop,Organic,Electronics,1,1,1,1
U00009,Desktop,Organic,Electronics,1,1,0,0
U00010,Mobile,Organic,Home & Kitchen,1,1,1,0
U00011,Mobile,Social,Clothing,1,1,1,1
U00012,Desktop,Direct,Sports,1,1,1,0
U00013,Desktop,Email,Home & Kitchen,1,1,1,0
U00014,Mobile,Social,Clothing,1,0,0,0
U00015,Desktop,Email,Books,1,1,1,0
U00016,Mobile,Social,Books,1,0,0,0
U00017,Desktop,Organic,Clothing,1,1,1,1
U00018,Desktop,Social,Books,1,1,1,0
U00019,Desktop,Organic,Sports,1,0,0,0
U00020,Desktop,Social,Sports,1,0,0,0
U00021,Mobile,Organic,Home & Kitchen,1,1,0,0
U00022,Tablet,Email,Home & Kitchen,1,0,0,0
U00023,Mobile,Paid,Electronics,1,0,0,0
U00024,Desktop,Social,Sports,1,1,1,1
U00025,Tablet,Direct,Electronics,1,1,0,0
U00026,Desktop,Paid,Home & Kitchen,1,1,1,0
U00027,Desktop,Social,Electronics,1,0,0,0
U00028,Mobile,Organic,Books,1,0,0,0
U00029,Desktop,Paid,Sports,1,1,1,1
U00030,Mobile,Organic,Home & Kitchen,1,1,0,0
U00031,Desktop,Email,Books,1,1,1,1
U00032,Mobile,Organic,Clothing,1,1,0,0
U00033,Desktop,Organic,Electronics,1,0,0,0
U00034,Desktop,Organic,Books,1,1,1,0
U00035,Mobile,Paid,Books,1,0,0,0
U00036,Desktop,Organic,Books,1,1,1,0
U00037,Desktop,Social,Electronics,1,1,0,0
U00038,Mobile,Organic,Clothing,1,1,1,1
U00039,Desktop,Organic,Electronics,1,1,0,0
U00040,Mobile,Organic,Sports,1,0,0,0
U00041,Tablet,Direct,Clothing,1,1,0,0
U00042,Desktop,Paid,Electronics,1,1,1,1
U00043,Tablet,Social,Home & Kitchen,1,1,0,0
U00044,Tablet,Paid,Books,1,1,1,0
U00045,Mobile,Paid,Home & Kitchen,1,1,0,0
U00046,Mobile,Email,Clothing,1,1,0,0
U00047,Mobile,Organic,Electronics,1,0,0,0
U00048,Desktop,Organic,Sports,1,1,0,0
U00049,Mobile,Paid,Sports,1,1,1,1
U00050,Mobile,Organic,Home & Kitchen,1,1,0,0
U00051,Desktop,Organic,Electronics,1,1,0,0
U00052,Mobile,Organic,Sports,1,1,1,0
U00053,Tablet,Email,Home & Kitchen,1,1,1,1
U00054,Desktop,Direct,Sports,1,1,0,0
U00055,Desktop,Social,Clothing,1,1,0,0
U00056,Mobile,Organic,Home & Kitchen,1,1,0,0
U00057,Desktop,Social,Home & Kitchen,1,1,1,0
U00058,Desktop,Social,Home & Kitchen,1,1,1,1
U00059,Tablet,Organic,Books,1,1,1,1
U00060,Desktop,Email,Clothing,1,1,0,0
U00061,Mobile,Organic,Clothing,1,1,1,0
U00062,Tablet,Organic,Home & Kitchen,1,1,1,1
U00063,Mobile,Email,Books,1,0,0,0
U00064,Mobile,Direct,Clothing,1,0,0,0
U00065,Tablet,Email,Books,1,1,0,0
U00066,Desktop,Direct,Clothing,1,1,0,0
U00067,Desktop,Email,Books,1,1,0,0
U00068,Desktop,Organic,Clothing,1,1,0,0
U00069,Desktop,Organic,Electronics,1,0,0,0
U00070,Desktop,Social,Books,1,0,0,0
U00071,Mobile,Organic,Electronics,1,1,0,0
U00072,Desktop,Direct,Home & Kitchen,1,1,0,0
U00073,Desktop,Social,Books,1,1,0,0
U00074,Desktop,Paid,Home & Kitchen,1,1,1,1
U00075,Mobile,Social,Clothing,1,1,1,0
U00076,Desktop,Organic,Electronics,1,0,0,0
U00077,Desktop,Organic,Books,1,1,0,0
U00078,Mobile,Organic,Books,1,0,0,0
U00079,Tablet,Social,Home & Kitchen,1,1,0,0
U00080,Desktop,Organic,Sports,1,1,1,1
U00081,Mobile,Paid,Clothing,1,0,0,0
U00082,Desktop,Social,Sports,1,1,0,0
U00083,Mobile,Social,Clothing,1,0,0,0
U00084,Desktop,Organic,Books,1,1,0,0
U00085,Desktop,Email,Sports,1,1,0,0
U00086,Desktop,Organic,Electronics,1,0,0,0
U00087,Mobile,Email,Books,1,1,0,0
U00088,Mobile,Paid,Sports,1,1,0,0
U00089,Desktop,Email,Sports,1,0,0,0
U00090,Mobile,Direct,Books,1,1,0,0
U00091,Mobile,Email,Sports,1,1,1,0
U00092,Desktop,Social,Home & Kitchen,1,0,0,0
U00093,Mobile,Social,Home & Kitchen,1,1,0,0
U00094,Desktop,Organic,Sports,1,1,1,1
U00095,Desktop,Organic,Books,1,1,0,0
U00096,Desktop,Organic,Books,1,1,0,0
U00097,Tablet,Organic,Sports,1,1,1,1
U00098,Mobile,Email,Books,1,1,0,0
U00099,Mobile,Email,Books,1,1,1,1
U00100,Desktop,Social,Books,1,0,0,0
U00101,Mobile,Email,Sports,1,1,0,0
U00102,Mobile,Social,Electronics,1,1,1,1
U00103,Desktop,Paid,Clothing,1,1,1,0
U00104,Desktop,Direct,Books,1,1,1,1
U00105,Mobile,Direct,Home & Kitchen,1,1,1,0
U00106,Desktop,Organic,Clothing,1,1,1,1
U00107,Desktop,Social,Sports,1,0,0,0
U00108,Desktop,Organic,Home & Kitchen,1,1,0,0
U00109,Mobile,Organic,Clothing,1,0,0,0
U00110,Desktop,Organic,Home & Kitchen,1,1,0,0
U00111,Desktop,Direct,Clothing,1,1,0,0
U00112,Mobile,Organic,Home & Kitchen,1,0,0,0
U00113,Mobile,Organic,Sports,1,0,0,0
U00114,Desktop,Paid,Home & Kitchen,1,1,0,0
U00115,Desktop,Paid,Books,1,1,0,0
U00116,Mobile,Email,Clothing,1,1,0,0
U00117,Tablet,Organic,Sports,1,0,0,0
U00118,Desktop,Email,Sports,1,1,0,0
U00119,Mobile,Organic,Books,1,1,0,0
U00120,Mobile,Paid,Electronics,1,1,1,1
U00121,Desktop,Organic,Home & Kitchen,1,0,0,0
U00122,Mobile,Organic,Electronics,1,1,1,1
U00123,Desktop,Paid,Clothing,1,0,0,0
U00124,Mobile,Paid,Electronics,1,1,1,0
U00125,Desktop,Paid,Books,1,1,1,0
U00126,Mobile,Paid,Books,1,1,1,1
U00127,Desktop,Organic,Sports,1,0,0,0
U00128,Mobile,Organic,Books,1,1,0,0
U00129,Mobile,Paid,Electronics,1,0,0,0
U00130,Desktop,Paid,Home & Kitchen,1,1,0,0
U00131,Desktop,Direct,Sports,1,1,0,0
U00132,Mobile,Social,Electronics,1,0,0,0
U00133,Mobile,Paid,Books,1,1,0,0
U00134,Desktop,Email,Electronics,1,0,0,0
U00135,Desktop,Organic,Electronics,1,1,0,0
U00136,Tablet,Organic,Clothing,1,1,0,0
U00137,Mobile,Social,Clothing,1,0,0,0
U00138,Desktop,Email,Home & Kitchen,1,0,0,0
U00139,Tablet,Organic,Sports,1,1,0,0
U00140,Desktop,Social,Clothing,1,1,1,1
U00141,Mobile,Organic,Books,1,1,0,0
U00142,Desktop,Organic,Home & Kitchen,1,0,0,0
U00143,Desktop,Social,Home & Kitchen,1,0,0,0
U00144,Mobile,Social,Clothing,1,1,0,0
U00145,Mobile,Email,Clothing,1,1,1,1
U00146,Mobile,Paid,Home & Kitchen,1,1,0,0
U00147,Desktop,Paid,Home & Kitchen,1,1,0,0
U00148,Desktop,Organic,Books,1,0,0,0
U00149,Mobile,Organic,Clothing,1,0,0,0
U00150,Mobile,Paid,Electronics,1,0,0,0
U00151,Mobile,Organic,Electronics,1,0,0,0
U00152,Desktop,Paid,Books,1,0,0,0
U00153,Desktop,Paid,Books,1,0,0,0
U00154,Desktop,Paid,Home & Kitchen,1,0,0,0
U00155,Mobile,Organic,Books,1,1,0,0
U00156,Mobile,Paid,Books,1,1,1,1
U00157,Mobile,Email,Electronics,1,0,0,0
U00158,Mobile,Paid,Clothing,1,1,0,0
U00159,Desktop,Paid,Electronics,1,1,0,0
U00160,Tablet,Paid,Books,1,1,0,0
U00161,Mobile,Organic,Clothing,1,1,1,1
U00162,Desktop,Email,Electronics,1,1,1,0
U00163,Desktop,Social,Sports,1,0,0,0
U00164,Desktop,Paid,Books,1,1,0,0
U00165,Desktop,Direct,Sports,1,0,0,0
U00166,Desktop,Organic,Books,1,1,0,0
U00167,Desktop,Organic,Home & Kitchen,1,0,0,0
U00168,Mobile,Social,Clothing,1,1,0,0
U00169,Desktop,Social,Books,1,1,1,1
U00170,Mobile,Paid,Clothing,1,0,0,0
U00171,Desktop,Organic,Books,1,0,0,0
U00172,Mobile,Paid,Clothing,1,1,1,1
U00173,Mobile,Email,Books,1,1,0,0
U00174,Desktop,Organic,Clothing,1,1,0,0
U00175,Desktop,Social,Books,1,1,0,0
U00176,Mobile,Email,Books,1,0,0,0
U00177,Mobile,Email,Books,1,0,0,0
U00178,Desktop,Organic,Home & Kitchen,1,0,0,0
U00179,Mobile,Paid,Electronics,1,0,0,0
U00180,Mobile,Organic,Clothing,1,0,0,0
U00181,Tablet,Organic,Electronics,1,1,1,1
U00182,Mobile,Paid,Clothing,1,1,1,0
U00183,Mobile,Organic,Sports,1,1,0,0
U00184,Desktop,Organic,Electronics,1,0,0,0
U00185,Desktop,Organic,Sports,1,1,1,1
U00186,Mobile,Social,Books,1,0,0,0
U00187,Desktop,Organic,Books,1,0,0,0
U00188,Desktop,Paid,Home & Kitchen,1,1,0,0
U00189,Desktop,Direct,Books,1,1,0,0
U00190,Mobile,Social,Electronics,1,0,0,0
U00191,Mobile,Email,Home & Kitchen,1,0,0,0
U00192,Desktop,Email,Clothing,1,1,0,0
U00193,Mobile,Social,Clothing,1,1,0,0
U00194,Mobile,Organic,Books,1,1,1,1
U00195,Tablet,Organic,Books,1,1,1,1
U00196,Tablet,Paid,Home & Kitchen,1,0,0,0
U00197,Desktop,Email,Books,1,0,0,0
U00198,Desktop,Email,Electronics,1,1,1,0
U00199,Desktop,Social,Books,1,0,0,0
U00200,Mobile,Paid,Books,1,1,0,0
U00201,Desktop,Social,Home & Kitchen,1,1,0,0
U00202,Tablet,Organic,Clothing,1,1,0,0
U00203,Tablet,Organic,Sports,1,1,1,0
U00204,Tablet,Organic,Books,1,1,1,1
U00205,Tablet,Organic,Clothing,1,0,0,0
U00206,Desktop,Paid,Sports,1,1,0,0
U00207,Desktop,Paid,Electronics,1,0,0,0
U00208,Mobile,Direct,Home & Kitchen,1,1,1,1
U00209,Tablet,Email,Electronics,1,0,0,0
U00210,Desktop,Email,Home & Kitchen,1,1,1,0
U00211,Tablet,Email,Electronics,1,0,0,0
U00212,Mobile,Paid,Electronics,1,1,1,0
U00213,Mobile,Organic,Sports,1,1,1,0
U00214,Desktop,Organic,Sports,1,1,0,0
U00215,Desktop,Organic,Home & Kitchen,1,0,0,0
U00216,Desktop,Email,Clothing,1,1,0,0
U00217,Desktop,Organic,Clothing,1,1,1,1
U00218,Desktop,Organic,Books,1,0,0,0
U00219,Mobile,Organic,Sports,1,1,0,0
U00220,Mobile,Email,Sports,1,1,0,0
U00221,Desktop,Direct,Books,1,1,1,0
U00222,Desktop,Email,Home & Kitchen,1,1,1,1
U00223,Mobile,Paid,Home & Kitchen,1,1,0,0
U00224,Desktop,Paid,Books,1,1,0,0
U00225,Mobile,Social,Sports,1,0,0,0
U00226,Desktop,Paid,Clothing,1,1,0,0
U00227,Desktop,Social,Home & Kitchen,1,1,0,0
U00228,Desktop,Organic,Books,1,1,0,0
U00229,Desktop,Organic,Home & Kitchen,1,0,0,0
U00230,Mobile,Paid,Sports,1,1,0,0
U00231,Desktop,Email,Books,1,0,0,0
U00232,Mobile,Direct,Sports,1,1,1,1
U00233,Desktop,Paid,Electronics,1,1,0,0
U00234,Desktop,Organic,Clothing,1,0,0,0
U00235,Mobile,Direct,Sports,1,1,0,0
U00236,Desktop,Direct,Home & Kitchen,1,1,1,0
U00237,Tablet,Paid,Clothing,1,0,0,0
U00238,Mobile,Paid,Clothing,1,0,0,0
U00239,Tablet,Organic,Sports,1,1,1,1
U00240,Desktop,Social,Sports,1,1,0,0
U00241,Desktop,Social,Electronics,1,0,0,0
U00242,Desktop,Social,Books,1,1,1,1
U00243,Mobile,Organic,Electronics,1,1,0,0
U00244,Desktop,Social,Electronics,1,1,0,0
U00245,Desktop,Organic,Clothing,1,0,0,0
U00246,Mobile,Organic,Electronics,1,1,0,0
U00247,Desktop,Paid,Clothing,1,1,0,0
U00248,Mobile,Organic,Electronics,1,1,0,0
U00249,Desktop,Organic,Books,1,1,0,0
U00250,Desktop,Organic,Electronics,1,0,0,0
U00251,Desktop,Direct,Books,1,0,0,0
U00252,Tablet,Organic,Electronics,1,1,0,0
U00253,Mobile,Paid,Home & Kitchen,1,0,0,0
