EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,Attrition
1,32,Male,Research & Development,Research Scientist,Doctor,Single,5914,10,3,1,No,24,No
2,55,Female,Sales,Sales Representative,Master,Single,5914,32,4,2,No,12,Yes
3,59,Female,Research & Development,Manager,Master,Divorced,10164,2,1,3,No,9,Yes
4,31,Female,Research & Development,Senior Scientist,College,Single,5935,25,1,2,No,15,No
5,52,Female,Research & Development,Senior Scientist,Below College,Married,3337,5,2,2,No,29,No
6,27,Female,Research & Development,Laboratory Technician,Master,Married,9229,30,4,3,Yes,23,No
7,33,Male,Human Resources,HR Executive,College,Divorced,5348,28,3,1,Yes,7,No
8,41,Male,Research & Development,Senior Scientist,Bachelor,Divorced,9142,16,4,3,No,27,Yes
9,45,Male,Research & Development,Research Scientist,Below College,Married,5885,23,1,3,No,22,No
10,31,Male,Research & Development,Research Scientist,Below College,Single,4575,25,3,3,Yes,27,No
11,30,Male,Research & Development,Laboratory Technician,Below College,Single,8758,22,3,1,No,29,Yes
12,39,Female,Sales,Manager,College,Married,6547,5,4,2,No,26,Yes
13,50,Male,Research & Development,Laboratory Technician,Below College,Divorced,9684,2,3,2,No,9,No
14,41,Male,Research & Development,Laboratory Technician,Bachelor,Married,5770,31,4,1,No,17,No
15,19,Male,Sales,Manager,Below College,Single,6650,22,1,1,No,2,No
16,49,Male,Research & Development,Laboratory Technician,Master,Divorced,12658,10,4,3,Yes,6,No
17,39,Male,Research & Development,Laboratory Technician,Below College,Single,4023,28,3,3,Yes,26,No
18,58,Male,Sales,Manager,College,Single,5084,10,4,1,Yes,23,No
19,33,Female,Research & Development,Manager,Below College,Single,5688,11,1,1,No,23,Yes
20,33,Male,Research & Development,Senior Scientist,Master,Married,5985,32,4,3,No,4,No
21,42,Male,Research & Development,Manager,Below College,Single,4036,1,2,3,No,9,Yes
22,38,Female,Sales,Sales Representative,Master,Divorced,3765,2,1,1,No,27,No
23,47,Female,Sales,Sales Representative,Doctor,Divorced,7191,33,1,2,No,15,No
24,36,Female,Sales,Sales Executive,Bachelor,Single,8567,16,4,2,No,21,No
25,41,Male,Research & Development,Research Scientist,Below College,Married,5368,20,4,3,Yes,3,Yes
26,20,Female,Research & Development,Manager,College,Divorced,8442,21,3,2,Yes,10,No
27,26,Male,Research & Development,Research Scientist,Doctor,Married,7787,24,4,1,Yes,7,No
28,25,Female,Research & Development,Research Scientist,Master,Divorced,7784,22,3,2,Yes,23,No
29,39,Female,Research & Development,Laboratory Technician,College,Married,7386,32,4,1,Yes,12,No
30,49,Female,Sales,Sales Executive,Bachelor,Divorced,2000,15,1,2,No,19,No
31,43,Male,Sales,Sales Representative,College,Single,6160,11,1,1,Yes,1,Yes
32,42,Female,Sales,Sales Representative,Doctor,Single,4516,0,4,1,No,5,No
33,43,Female,Research & Development,Senior Scientist,Bachelor,Single,5651,27,1,3,Yes,14,No
34,43,Female,Sales,Sales Representative,Doctor,Divorced,4461,32,2,2,No,26,No
35,48,Female,Research & Development,Laboratory Technician,College,Divorced,9407,4,1,3,No,28,No
36,29,Female,Research & Development,Senior Scientist,Bachelor,Single,6525,32,1,3,No,12,No
37,46,Male,Human Resources,Manager,Master,Divorced,5453,34,3,1,No,29,No
38,58,Male,Sales,Sales Representative,Master,Married,6221,10,1,1,No,25,No
39,52,Male,Research & Development,Senior Scientist,Bachelor,Married,7730,22,2,1,Yes,23,No
40,47,Male,Research & Development,Research Scientist,Below College,Married,2681,19,4,1,No,27,Yes
41,58,Male,Sales,Sales Executive,Master,Single,7310,18,2,3,Yes,5,Yes
42,38,Female,Research & Development,Manager,Doctor,Divorced,6174,15,1,3,Yes,10,No
43,22,Male,Human Resources,Manager,Doctor,Divorced,8722,16,1,2,Yes,13,Yes
44,19,Male,Research & Development,Manager,Doctor,Single,7740,18,4,1,No,20,No
45,21,Female,Research & Development,Research Scientist,Master,Divorced,2000,26,2,2,No,3,Yes
46,37,Female,Research & Development,Laboratory Technician,Doctor,Divorced,5621,0,3,1,Yes,25,Yes
47,55,Male,Sales,Sales Executive,College,Single,6674,10,4,1,Yes,19,No
48,31,Male,Research & Development,Research Scientist,Below College,Single,8958,2,4,3,Yes,12,No
49,29,Female,Sales,Sales Representative,Master,Single,4400,25,4,2,Yes,28,Yes
50,44,Female,Human Resources,Manager,Below College,Single,5001,32,1,1,No,29,Yes
51,35,Male,Sales,Sales Representative,Doctor,Divorced,6855,4,3,1,No,18,No
52,43,Male,Sales,Sales Executive,Below College,Married,9092,26,1,1,Yes,9,Yes
53,23,Female,Sales,Manager,Below College,Single,10290,9,2,3,Yes,14,Yes
54,30,Female,Sales,Sales Executive,Below College,Single,7281,31,2,3,Yes,26,No
55,29,Male,Research & Development,Manager,Master,Single,5091,22,3,1,No,2,No
56,51,Female,Research & Development,Senior Scientist,College,Married,12848,17,2,3,No,2,No
57,32,Female,Research & Development,Senior Scientist,College,Divorced,8921,9,4,1,No,28,Yes
58,19,Male,Sales,Sales Representative,Bachelor,Divorced,8114,10,3,3,Yes,23,No
59,25,Female,Research & Development,Senior Scientist,Master,Single,6343,28,4,2,No,19,Yes
60,39,Male,Sales,Sales Representative,Below College,Single,8887,11,2,2,No,14,No
61,39,Male,Research & Development,Laboratory Technician,Bachelor,Divorced,6945,21,2,2,No,14,No
62,24,Male,Research & Development,Laboratory Technician,Bachelor,Divorced,6589,17,2,2,No,15,Yes
63,27,Male,Research & Development,Senior Scientist,Below College,Single,4883,24,1,1,No,4,No
64,53,Male,Research & Development,Laboratory Technician,College,Divorced,3796,7,4,1,No,10,No
65,51,Male,Research & Development,Laboratory Technician,Bachelor,Single,7741,21,1,2,No,16,Yes
66,47,Male,Sales,Sales Representative,Below College,Divorced,6014,2,3,3,No,4,No
67,45,Male,Research & Development,Senior Scientist,Master,Divorced,5058,1,3,3,No,19,No
68,21,Male,Sales,Sales Representative,Master,Single,8388,19,1,3,No,14,No
69,53,Male,Research & Development,Manager,Bachelor,Divorced,6128,9,1,3,No,2,No
70,54,Male,Research & Development,Research Scientist,Below College,Single,5481,10,3,2,No,17,No
71,31,Male,Research & Development,Laboratory Technician,Bachelor,Single,5228,0,4,2,Yes,29,Yes
72,47,Male,Research & Development,Laboratory Technician,Doctor,Single,3395,4,3,3,No,4,No
73,57,Female,Research & Development,Laboratory Technician,Bachelor,Single,9128,14,1,1,No,15,No
74,57,Male,Research & Development,Senior Scientist,Bachelor,Married,4391,5,3,3,No,10,No
75,50,Female,Research & Development,Research Scientist,Bachelor,Single,5351,26,3,1,Yes,22,No
76,50,Female,Research & Development,Laboratory Technician,Doctor,Divorced,4375,23,4,3,No,5,No
77,19,Male,Research & Development,Research Scientist,Bachelor,Divorced,10765,26,1,3,No,8,No
78,43,Female,Research & Development,Manager,Bachelor,Married,7792,12,4,2,Yes,1,Yes
79,53,Female,Research & Development,Senior Scientist,Master,Single,7042,27,3,2,Yes,19,No
80,28,Male,Research & Development,Laboratory Technician,Below College,Married,7605,20,2,2,Yes,23,No
81,57,Male,Research & Development,Manager,Doctor,Divorced,6104,25,1,3,No,25,No
82,35,Male,Research & Development,Manager,College,Divorced,5432,16,4,3,Yes,27,Yes
83,23,Male,Sales,Manager,Below College,Single,4704,25,4,2,No,7,No
84,39,Female,Research & Development,Senior Scientist,Doctor,Single,8764,6,1,1,No,19,Yes
85,47,Male,Research & Development,Senior Scientist,Below College,Single,9215,18,2,1,No,15,No
86,47,Female,Research & Development,Research Scientist,Bachelor,Divorced,5513,3,1,1,Yes,3,Yes
87,51,Female,Sales,Sales Representative,Below College,Divorced,5857,2,4,3,No,29,No
88,20,Male,Research & Development,Research Scientist,Below College,Divorced,9060,7,2,3,Yes,14,No
89,21,Female,Research & Development,Senior Scientist,Doctor,Married,4856,17,3,2,Yes,23,No
90,53,Male,Sales,Manager,Master,Married,4156,1,1,3,No,11,No
91,29,Female,Research & Development,Manager,Doctor,Single,9616,33,1,3,No,22,No
92,40,Female,Sales,Sales Representative,Below College,Married,2000,16,2,1,No,13,No
93,21,Female,Sales,Sales Representative,College,Single,5150,10,2,2,No,10,No
94,54,Male,Sales,Sales Executive,College,Divorced,4554,21,1,3,No,6,No
95,24,Female,Sales,Sales Executive,Doctor,Single,2000,1,4,2,No,19,Yes
96,38,Male,Research & Development,Research Scientist,Bachelor,Single,3301,34,2,2,No,24,No
97,53,Male,Research & Development,Research Scientist,Master,Divorced,5060,33,1,2,No,9,Yes
98,57,Female,Research & Development,Research Scientist,Below College,Divorced,6805,34,3,2,No,12,No
99,54,Female,Sales,Manager,Bachelor,Divorced,7043,11,2,3,No,21,No
100,23,Female,Research & Development,Senior Scientist,Below College,Married,11364,24,4,3,No,9,No
101,33,Male,Sales,Sales Representative,Below College,Divorced,3372,6,2,3,No,9,Yes
102,40,Male,Sales,Manager,College,Divorced,13014,29,4,3,No,27,No
103,41,Male,Sales,Manager,Master,Single,7055,25,3,3,Yes,15,No
104,42,Male,Research & Development,Laboratory Technician,College,Single,5303,15,1,2,No,2,Yes
105,30,Male,Research & Development,Laboratory Technician,College,Divorced,6439,15,4,3,No,25,No
106,47,Male,Research & Development,Research Scientist,Bachelor,Single,5111,13,4,2,No,18,No
107,32,Male,Sales,Sales Executive,Below College,Single,3823,5,3,3,No,11,No
108,21,Male,Human Resources,HR Executive,Master,Single,8206,9,3,2,No,9,No
109,22,Male,Research & Development,Laboratory Technician,Below College,Single,5566,17,2,1,Yes,3,Yes
110,42,Male,Sales,Manager,Master,Married,3566,33,3,1,No,27,Yes
111,51,Female,Research & Development,Research Scientist,College,Single,7766,10,3,2,No,15,Yes
112,43,Female,Research & Development,Senior Scientist,Doctor,Single,5998,27,1,1,No,8,No
113,20,Female,Research & Development,Manager,College,Divorced,7523,23,3,1,Yes,16,No
114,59,Female,Research & Development,Research Scientist,Bachelor,Married,8094,6,1,3,No,25,Yes
115,49,Male,Research & Development,Laboratory Technician,Doctor,Married,10418,11,3,2,No,14,No
116,48,Female,Research & Development,Senior Scientist,Master,Single,7357,34,4,2,No,7,No
117,45,Female,Human Resources,HR Executive,Doctor,Single,5111,3,3,1,No,17,No
118,35,Female,Research & Development,Laboratory Technician,Doctor,Divorced,7729,34,4,1,No,29,Yes
119,49,Male,Research & Development,Manager,Bachelor,Married,8195,34,1,1,Yes,23,No
120,31,Female,Sales,Sales Representative,Bachelor,Divorced,6379,2,1,2,Yes,28,No
121,37,Female,Research & Development,Research Scientist,Bachelor,Single,2000,14,2,1,Yes,17,No
122,33,Male,Research & Development,Manager,Master,Married,5083,24,1,1,No,15,No
123,20,Male,Research & Development,Manager,Master,Single,6095,29,2,3,Yes,12,Yes
124,39,Female,Research & Development,Senior Scientist,Doctor,Single,3146,1,4,3,No,17,Yes
125,48,Female,Sales,Sales Representative,Bachelor,Single,7144,23,1,1,Yes,14,Yes
126,45,Female,Research & Development,Laboratory Technician,Below College,Married,7672,31,2,1,No,1,No
127,43,Female,Sales,Sales Executive,College,Married,10994,14,2,2,Yes,17,No
128,23,Male,Sales,Manager,Below College,Divorced,8102,30,4,1,No,8,No
129,24,Male,Research & Development,Senior Scientist,Master,Married,6005,2,3,1,Yes,14,Yes
130,29,Male,Sales,Manager,Below College,Single,9793,18,3,2,No,8,No
131,35,Female,Research & Development,Senior Scientist,College,Divorced,6595,9,3,3,Yes,22,Yes
132,47,Male,Sales,Sales Executive,College,Single,6800,23,4,1,No,12,No
133,49,Male,Research & Development,Laboratory Technician,Master,Married,6236,1,3,2,No,7,No
134,29,Male,Research & Development,Laboratory Technician,Doctor,Married,10952,20,3,1,Yes,8,No
135,31,Female,Research & Development,Laboratory Technician,College,Divorced,4740,13,4,3,No,2,Yes
136,45,Female,Research & Development,Research Scientist,Bachelor,Single,6144,4,3,1,No,24,No
137,28,Female,Sales,Manager,Bachelor,Married,6692,9,4,2,Yes,5,Yes
138,37,Female,Research & Development,Research Scientist,Below College,Divorced,3292,11,1,1,No,12,No
139,37,Female,Research & Development,Laboratory Technician,College,Single,8319,28,1,3,Yes,5,No
140,31,Female,Research & Development,Research Scientist,College,Single,6629,23,3,3,Yes,25,No
141,40,Female,Research & Development,Manager,Master,Divorced,4153,7,2,1,Yes,8,Yes
142,39,Male,Sales,Manager,College,Single,8110,25,3,2,Yes,18,No
143,29,Male,Research & Development,Senior Scientist,Below College,Married,6951,30,4,2,No,5,No
144,23,Male,Research & Development,Laboratory Technician,Below College,Single,8379,24,4,1,No,13,No
145,55,Female,Sales,Sales Representative,Master,Married,8753,12,1,3,No,11,No
146,42,Male,Sales,Manager,Below College,Married,6152,6,3,1,No,29,No
147,52,Female,Sales,Sales Executive,College,Divorced,10605,9,2,2,No,21,No
148,45,Male,Research & Development,Laboratory Technician,Doctor,Married,9024,24,4,1,No,5,No
149,40,Female,Research & Development,Manager,College,Divorced,9796,15,3,1,No,25,No
150,38,Male,Research & Development,Senior Scientist,Bachelor,Married,6717,13,1,1,No,27,No
151,33,Female,Research & Development,Senior Scientist,Master,Married,4025,3,2,1,No,7,No
152,48,Male,Sales,Sales Executive,Below College,Married,8851,19,4,2,No,1,No
153,30,Male,Research & Development,Manager,Doctor,Married,9813,14,2,2,No,10,No
154,44,Male,Research & Development,Laboratory Technician,Master,Married,7555,23,3,3,No,18,No
155,22,Male,Sales,Manager,Below College,Divorced,6299,20,1,2,Yes,15,Yes
156,27,Male,Sales,Manager,Doctor,Single,9233,24,2,3,No,18,No
157,58,Male,Research & Development,Manager,Bachelor,Divorced,9106,3,2,2,No,7,No
158,50,Female,Sales,Sales Executive,Bachelor,Single,5200,7,1,3,No,7,Yes
159,22,Female,Research & Development,Laboratory Technician,Bachelor,Single,8078,2,2,1,No,22,No
160,55,Male,Human Resources,Manager,Bachelor,Married,2608,22,2,2,No,4,No
161,33,Female,Research & Development,Manager,Below College,Divorced,4661,11,4,3,No,13,Yes
162,22,Female,Human Resources,Manager,Master,Single,9590,29,1,2,Yes,8,No
163,51,Male,Sales,Sales Representative,Master,Single,4794,20,2,3,Yes,1,Yes
164,43,Female,Research & Development,Manager,College,Divorced,3563,5,3,2,No,22,No
165,59,Female,Research & Development,Senior Scientist,College,Single,8797,29,2,2,Yes,7,Yes
166,52,Female,Sales,Sales Executive,Bachelor,Married,5774,34,2,2,No,10,No
167,50,Female,Sales,Sales Representative,Below College,Married,7217,5,1,1,No,8,No
168,21,Male,Research & Development,Manager,Master,Single,6210,30,2,2,Yes,6,Yes
169,40,Male,Sales,Sales Representative,Bachelor,Single,5966,1,2,3,No,24,No
170,52,Male,Research & Development,Research Scientist,Below College,Married,10226,6,4,1,No,7,No
171,53,Female,Sales,Sales Executive,College,Divorced,5418,34,3,3,No,14,No
172,19,Female,Research & Development,Research Scientist,Bachelor,Single,9817,14,1,2,No,24,No
173,43,Female,Sales,Sales Executive,Doctor,Single,6194,10,3,1,No,23,Yes
174,35,Female,Sales,Sales Representative,Bachelor,Single,5412,28,4,1,No,21,No
175,26,Male,Sales,Sales Executive,Below College,Married,2502,9,2,2,Yes,8,No
176,25,Male,Research & Development,Laboratory Technician,Below College,Divorced,5483,16,4,3,No,19,Yes
177,54,Female,Human Resources,HR Executive,Doctor,Single,8482,23,3,1,No,21,No
178,28,Female,Research & Development,Senior Scientist,Bachelor,Divorced,9569,27,3,3,No,5,No
179,27,Female,Research & Development,Senior Scientist,Master,Single,8990,24,1,2,No,3,Yes
180,58,Male,Research & Development,Laboratory Technician,Below College,Married,4608,9,1,3,No,22,No
181,49,Female,Research & Development,Senior Scientist,Master,Married,5587,17,3,1,No,27,No
182,39,Female,Research & Development,Laboratory Technician,Master,Single,4401,31,3,2,Yes,21,Yes
183,56,Male,Research & Development,Manager,Master,Single,11822,20,2,2,No,7,Yes
184,39,Male,Sales,Sales Representative,Below College,Married,8221,27,1,1,Yes,29,No
185,48,Male,Sales,Sales Representative,Bachelor,Divorced,7736,32,4,3,No,19,No
186,42,Female,Sales,Manager,Doctor,Divorced,8309,7,2,2,Yes,1,No
187,57,Male,Research & Development,Senior Scientist,College,Married,7151,26,3,2,No,13,No
188,43,Female,Research & Development,Laboratory Technician,Master,Single,2998,13,2,1,No,25,No
189,23,Female,Research & Development,Manager,Bachelor,Single,5781,3,4,2,No,3,No
190,57,Male,Research & Development,Laboratory Technician,Doctor,Married,4146,3,4,1,No,17,No
191,20,Female,Research & Development,Laboratory Technician,Doctor,Married,11153,23,2,2,No,28,No
192,36,Female,Research & Development,Laboratory Technician,Doctor,Married,11216,30,4,3,No,4,No
193,35,Male,Research & Development,Research Scientist,Master,Single,10283,10,1,2,No,17,No
194,44,Male,Research & Development,Manager,Master,Divorced,8077,8,2,1,Yes,29,No
195,47,Female,Sales,Manager,Doctor,Married,2000,18,2,3,No,19,No
196,38,Female,Research & Development,Senior Scientist,Doctor,Married,6925,25,4,2,No,18,No
197,23,Male,Research & Development,Senior Scientist,Master,Single,8415,20,2,2,No,28,No
198,27,Female,Sales,Sales Representative,College,Single,9567,12,2,1,No,24,Yes
199,38,Female,Research & Development,Manager,College,Single,6078,14,2,3,No,15,No
200,31,Male,Research & Development,Laboratory Technician,Doctor,Married,6777,20,2,1,No,26,Yes
201,42,Male,Research & Development,Manager,Master,Single,4981,6,2,3,No,24,Yes
202,58,Male,Research & Development,Laboratory Technician,Below College,Single,10573,33,2,2,No,1,No
203,19,Female,Sales,Sales Representative,College,Divorced,8047,23,3,2,No,10,No
